cc_num,cluster,profile_id,profile_name
CARD00001,2,1,Night Owl Impulse Buyer
CARD00002,3,3,High-Risk Impulse Buyer
CARD00003,2,1,Night Owl Impulse Buyer
CARD00004,2,1,Night Owl Impulse Buyer
CARD00005,0,0,Conservative Spender
CARD00006,0,0,Conservative Spender
CARD00007,3,3,High-Risk Impulse Buyer
CARD00008,0,0,Conservative Spender
CARD00009,2,1,Night Owl Impulse Buyer
CARD00010,0,0,Conservative Spender
CARD00011,0,0,Conservative Spender
CARD00012,2,1,Night Owl Impulse Buyer
CARD00013,0,0,Conservative Spender
CARD00014,3,3,High-Risk Impulse Buyer
CARD00015,3,3,High-Risk Impulse Buyer
CARD00016,2,1,Night Owl Impulse Buyer
CARD00017,0,0,Conservative Spender
CARD00018,3,3,High-Risk Impulse Buyer
CARD00019,0,0,Conservative Spender
CARD00020,0,0,Conservative Spender
CARD00021,2,1,Night Owl Impulse Buyer
CARD00022,2,1,Night Owl Impulse Buyer
CARD00023,3,3,High-Risk Impulse Buyer
CARD00024,1,2,Weekend Splurger
CARD00025,1,2,Weekend Splurger
CARD00026,3,3,High-Risk Impulse Buyer
CARD00027,2,1,Night Owl Impulse Buyer
CARD00028,3,3,High-Risk Impulse Buyer
CARD00029,1,2,Weekend Splurger
CARD00030,3,3,High-Risk Impulse Buyer
CARD00031,2,1,Night Owl Impulse Buyer
CARD00032,1,2,Weekend Splurger
CARD00033,0,0,Conservative Spender
CARD00034,0,0,Conservative Spender
CARD00035,1,2,Weekend Splurger
CARD00036,1,2,Weekend Splurger
CARD00037,1,2,Weekend Splurger
CARD00038,1,2,Weekend Splurger
CARD00039,3,3,High-Risk Impulse Buyer
CARD00040,0,0,Conservative Spender
CARD00041,1,2,Weekend Splurger
CARD00042,1,2,Weekend Splurger
CARD00043,1,2,Weekend Splurger
CARD00044,0,0,Conservative Spender
CARD00045,0,0,Conservative Spender
CARD00046,2,1,Night Owl Impulse Buyer
CARD00047,3,3,High-Risk Impulse Buyer
CARD00048,2,1,Night Owl Impulse Buyer
CARD00049,3,3,High-Risk Impulse Buyer
CARD00050,3,3,High-Risk Impulse Buyer
CARD00051,3,3,High-Risk Impulse Buyer
CARD00052,0,0,Conservative Spender
CARD00053,3,3,High-Risk Impulse Buyer
CARD00054,2,1,Night Owl Impulse Buyer
CARD00055,2,1,Night Owl Impulse Buyer
CARD00056,0,0,Conservative Spender
CARD00057,3,3,High-Risk Impulse Buyer
CARD00058,0,0,Conservative Spender
CARD00059,2,1,Night Owl Impulse Buyer
CARD00060,1,2,Weekend Splurger
CARD00061,1,2,Weekend Splurger
CARD00062,3,3,High-Risk Impulse Buyer
CARD00063,1,2,Weekend Splurger
CARD00064,2,1,Night Owl Impulse Buyer
CARD00065,1,2,Weekend Splurger
CARD00066,3,3,High-Risk Impulse Buyer
CARD00067,0,0,Conservative Spender
CARD00068,3,3,High-Risk Impulse Buyer
CARD00069,2,1,Night Owl Impulse Buyer
CARD00070,3,3,High-Risk Impulse Buyer
CARD00071,0,0,Conservative Spender
CARD00072,3,3,High-Risk Impulse Buyer
CARD00073,1,2,Weekend Splurger
CARD00074,2,1,Night Owl Impulse Buyer
CARD00075,0,0,Conservative Spender
CARD00076,0,0,Conservative Spender
CARD00077,2,1,Night Owl Impulse Buyer
CARD00078,0,0,Conservative Spender
CARD00079,2,1,Night Owl Impulse Buyer
CARD00080,3,3,High-Risk Impulse Buyer
CARD00081,3,3,High-Risk Impulse Buyer
CARD00082,2,1,Night Owl Impulse Buyer
CARD00083,1,2,Weekend Splurger
CARD00084,0,0,Conservative Spender
CARD00085,3,3,High-Risk Impulse Buyer
CARD00086,1,2,Weekend Splurger
CARD00087,1,2,Weekend Splurger
CARD00088,0,0,Conservative Spender
CARD00089,1,2,Weekend Splurger
CARD00090,3,3,High-Risk Impulse Buyer
CARD00091,1,2,Weekend Splurger
CARD00092,3,3,High-Risk Impulse Buyer
CARD00093,0,0,Conservative Spender
CARD00094,2,1,Night Owl Impulse Buyer
CARD00095,3,3,High-Risk Impulse Buyer
CARD00096,2,1,Night Owl Impulse Buyer
CARD00097,0,0,Conservative Spender
CARD00098,2,1,Night Owl Impulse Buyer
CARD00099,2,1,Night Owl Impulse Buyer
CARD00100,3,3,High-Risk Impulse Buyer
CARD00101,2,1,Night Owl Impulse Buyer
CARD00102,0,0,Conservative Spender
CARD00103,3,3,High-Risk Impulse Buyer
